종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"060310","3S","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","03",,"44802511","500","22401255500","원(KRW)","박종익, 김세완 (각자 대표이사)","02-896-9474","서울특별시 금천구  시흥대로71길 30-1 "
"054620","APS홀딩스","KOSDAQ","중견기업부",,"116409","기타 금융업","12",,"20394221","500","10197110500","원(KRW)","정기로","031-776-1800","경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면)"
"265520","AP시스템","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"14480227","500","7240113500","원(KRW)","김영주","031-379-2700","경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp"
"211270","AP위성","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"15014804","500","7507402000","원(KRW)","류장수","02-2026-7800","서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp"
"035760","CJ ENM","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"21929154","5000","110577370000","원(KRW)","Minheoi Heo, Minho Hou","02-2107-0114","서울특별시 서초구  과천대로 870-13 "
"051500","CJ프레시웨이","KOSDAQ","우량기업부",,"074603","음·식료품 및 담배 도매업","12",,"11871586","1000","11871586000","원(KRW)","문종석","02-2149-6007","경기도 용인시 기흥구  기곡로 32  "
"058820","CMG제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"138892244","500","69446122000","원(KRW)","이주형","02-3453-8816","서울특별시 강남구 도산대로66길 14 (청담동)"
"023460","CNH","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"37200000","2500","93000000000","원(KRW)","임영기,김양수(각자 대표이사)","02-3287-0700","경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)"
"065770","CS","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"18835150","500","9417575000","원(KRW)","최규훈","031-622-3200","경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1)"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)",,"032004","기타 화학제품 제조업","12",,"37072045","500","18536022500","원(KRW)","조성아","02-483-0077","서울특별시 강남구 학동로30길 20 -"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"6050000","100","605000000","원(KRW)","홍창배","02-369-3972","서울특별시 영등포구 국제금융로8길 32 "
"068790","DMS","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"24573061","500","12286530500","원(KRW)","박용석","031-8031-1133","경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동)"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"18538829","500","9269414500","원(KRW)","윤건수","02-3453-3190","서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층"
"245620","EDGC","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"42914531","100","4291453100","원(KRW)","이민섭, 신상철","0327132140","인천광역시 연수구 하모니로 291, 4층 &nbsp"
"037370","EG","KOSDAQ","중견기업부",,"074607","기타 전문 도매업","12",,"7500000","1000","7500000000","원(KRW)","박지만","041 -750 -7777","충청남도 금산군 추부면 서대산로 459 "
"079190","EMW","KOSDAQ","관리종목(소속부없음)",,"032604","통신 및 방송 장비 제조업","12",,"31784197","500","15892098500","원(KRW)","양일규 (단독대표)","02-2107-5500","인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)"
"130500","GH신소재","KOSDAQ","중견기업부",,"031309","기타 섬유제품 제조업","12",,"11000000","500","5500000000","원(KRW)","우희구","054-460-8100","경상북도 구미시  1공단로4길 141-54 "
"900290","GRT","KOSDAQ","관리종목(소속부없음)",,"116409","기타 금융업","06",,"67375000","무액면","770089223","중국위안(CNY)","주영남","85236458129","Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong "
"083450","GST","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"9317745","500","4658872500","원(KRW)","김덕준","031-371-2200","경기도 화성시 동탄면 동탄산단6길 15-13 "
"028150","GS홈쇼핑","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"6562500","5000","32812500000","원(KRW)","김호성","02-2007-4153","서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가)"
