종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"095570","AJ네트웍스","KOSPI",,,"147603","산업용 기계 및 장비 임대업","12",,"46822295","1000","46822295000","원(KRW)","이현우","02-6363-9999","서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)"
"006840","AK홀딩스","KOSPI",,,"116409","기타 금융업","12",,"13247561","5000","66237805000","원(KRW)","채형석, 이석주(각자 대표이사)","02-768-2923","서울특별시 마포구 양화로 188 - "
"027410","BGF","KOSPI",,,"116409","기타 금융업","12",,"95716791","1000","95716791000",,"홍정국","1577-3663","서울특별시 강남구 테헤란로 405 "
"282330","BGF리테일","KOSPI",,,"074701","종합 소매업","12",,"17283906","1000","17283906000","원(KRW)","이건준","02-1577-8007","서울특별시 강남구 테헤란로 405 BGF사옥"
"138930","BNK금융지주","KOSPI",,,"116409","기타 금융업","12",,"325935246","5000","1629676230000","원(KRW)","김지완","051-620-3023","부산광역시 남구 문현금융로 30(문현동) "
"001460","BYC","KOSPI",,,"031401","봉제의복 제조업","12",,"624615","5000","4200000000","원(KRW)","고 윤 성","02-840-3172","서울특별시 영등포구 도림천로21길 3 "
"001040","CJ","KOSPI",,,"116409","기타 금융업","12",,"29176998","5000","179047370000","원(KRW)","손경식, 김홍기","02-726-8114","서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) "
"079160","CJ CGV","KOSPI",,,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"35100000","500","17550000000","원(KRW)","최병환","02-371-6660","서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) "
"000120","CJ대한통운","KOSPI",,,"084903","도로 화물 운송업","12",,"22812344","5000","114061720000","원(KRW)","박근희","02-3782-0114","서울특별시 중구  세종대로9길 53 "
"011150","CJ씨푸드","KOSPI",,,"031007","기타 식품 제조업","12",,"35930773","500","18065386500","원(KRW)","이인덕, 오재석(각자대표)","031-730-9114","경기도 성남시 중원구  둔촌대로388번길 32 (상대원동)"
"097950","CJ제일제당","KOSPI",,,"031007","기타 식품 제조업","12",,"15054186","5000","81908095000","원(KRW)","손경식, 강신호, 최은석 (각자 대표이사)","726-8114","서울특별시 중구  동호로 330 "
"000590","CS홀딩스","KOSPI",,,"116409","기타 금융업","12",,"1154482","5000","5772410000","원(KRW)","임규섭","02-3459-9363","경상북도 포항시 남구 괴동로 43 (장흥동)"
"012030","DB","KOSPI",,,"106201","컴퓨터 프로그래밍, 시스템 통합 및 관리업","12",,"201173933","500","100586966500","원(KRW)","문덕식,강운식 (각자 대표이사)","02-2136-6000","서울특별시 강남구 삼성로96길 23 7층"
"016610","DB금융투자","KOSPI",,,"116601","금융 지원 서비스업","12",,"42446389","5000","212231945000","원(KRW)","고원종","02-369-3000","서울특별시 영등포구 국제금융로8길 32 동부증권빌딩"
"005830","DB손해보험","KOSPI",,,"116501","보험업","12",,"70800000","500","35400000000","원(KRW)","김정남","02-1588-0100","서울특별시 강남구  테헤란로 432 "
"000990","DB하이텍","KOSPI",,,"032601","반도체 제조업","12",,"44398588","5000","222554520000","원(KRW)","최창식","02-3484-2888","경기도 부천시 수도로 90 (주)DB하이텍"
"139130","DGB금융지주","KOSPI",,,"116409","기타 금융업","12",,"169145833","5000","845729165000","원(KRW)","김태오","0537407900","대구광역시 북구 옥산로 111 대구은행 제2본점 9층"
"004840","DRB동일","KOSPI",,,"116409","기타 금융업","12",,"19930000","500","9965000000","원(KRW)","류영식","051-520-9000","부산광역시 금정구 공단동로55번길 28 "
"155660","DSR","KOSPI",,,"032402","1차 비철금속 제조업","12",,"16000000","500","8000000000","원(KRW)","홍석빈","02-3420-3591","부산광역시 강서구 녹산산업중로192번길 7 "
"069730","DSR제강","KOSPI",,,"032401","1차 철강 제조업","12",,"14400000","500","7200000000","원(KRW)","홍하종","061-752-0121","전라남도 순천시  서면 산단1길 15 "
"017940","E1","KOSPI",,,"074607","기타 전문 도매업","12",,"6860000","5000","34300000000","원(KRW)","구자용 사장","02-3441-4114","서울특별시 용산구 한강대로 92 LS용산타워"
"365550","ESR켄달스퀘어리츠","KOSPI",,,"126801","부동산 임대 및 공급업","05",,"143259000","1000","143259000000","원(KRW)","박래익","02-6205-0468","서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층 "
"007700","F&F","KOSPI",,,"031401","봉제의복 제조업","12",,"15400000","500","7700000000","원(KRW)","김창수","02-520-0001","서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) "
"114090","GKL","KOSPI",,,"189102","유원지 및 기타 오락관련 서비스업","12",,"61855670","500","30927835000","원(KRW)","유태열","02-6421-6000","서울특별시 강남구 삼성로 610 삼성동"
"078930","GS","KOSPI",,,"116409","기타 금융업","12",,"92915378","5000","473501020000","원(KRW)","허태수, 홍순기 (각자 대표이사)","-","서울특별시 강남구 논현로 508 "
"006360","GS건설","KOSPI",,,"064101","건물 건설업","12",,"80784763","5000","403923815000","원(KRW)","허창수, 임병용(각자 대표이사)","02-2154-1112","서울특별시 종로구 종로 33 그랑서울"
"001250","GS글로벌","KOSPI",,,"074608","상품 종합 도매업","12",,"82533764","2500","206334410000","원(KRW)","김태형","02-2005-5300","서울특별시 강남구 논현로 508 GS강남타워 "
"007070","GS리테일","KOSPI",,,"074701","종합 소매업","12",,"77000000","1000","77000000000","원(KRW)","허연수","02-2005-1114","서울특별시 강남구 논현로 508GS타워(역삼동 679) "
"012630","HDC","KOSPI",,,"116409","기타 금융업","12",,"59741721","5000","298708605000","원(KRW)","정몽규, 유병규","02-2008-9114","서울특별시 강남구 영동대로 520 아이파크타워"
"039570","HDC아이콘트롤스","KOSPI",,,"064203","전기 및 통신 공사업","12",,"16460000","500","8230000000","원(KRW)","김성은","031-785-1711","경기도 성남시 분당구 정자일로213번길 5 "
"089470","HDC현대EP","KOSPI",,,"032004","기타 화학제품 제조업","12",,"31900000","500","17200000000","원(KRW)","정 중 규","041-350-0500","충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사"
"294870","HDC현대산업개발","KOSPI",,,"064101","건물 건설업","12",,"65907330","5000","329536650000","원(KRW)","권순호, 정경구","02-2008-9114","서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 "
"011200","HMM","KOSPI",,,"085001","해상 운송업","12",,"326726323","5000","1633631615000","원(KRW)","배재훈","02-3706-5114","서울특별시 종로구  율곡로 194 "
"082740","HSD엔진","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"32947142","1000","32947142000","원(KRW)","고영열","055-260-6000","경상남도 창원시 성산구 공단로 67 (신촌동)"
"175330","JB금융지주","KOSPI",,,"116409","기타 금융업","12",,"196982894","5000","984914470000","원(KRW)","김기홍","02-2128-2727","전라북도 전주시 덕진구  백제대로 566 "
"234080","JW생명과학","KOSPI",,,"032102","의약품 제조업","12",,"15834554","2500","39586385000","원(KRW)","차성남","041-351-7600","충청남도 당진시 송악읍 한진1길 28 "
"001060","JW중외제약","KOSPI",,,"032102","의약품 제조업","12",,"21539926","2500","54526100000","원(KRW)","대표이사 신영섭, 이성열(각자 대표이사)","02-840-6777","서울특별시 서초구  남부순환로 2477 "
"096760","JW홀딩스","KOSPI",,,"116409","기타 금융업","12",,"68441182","500","34220591000","원(KRW)","이경하, 한성권","02-840-6777","서울특별시 서초구  남부순환로 2477 "
"105560","KB금융","KOSPI",,,"116409","기타 금융업","12",,"415807920","5000","2090557685000","원(KRW)","윤종규","02-2073-7114","서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)"
"009440","KC그린홀딩스","KOSPI",,,"116409","기타 금융업","12",,"22434980","500","11217490000","원(KRW)","이태영","02-320-6311","서울특별시 마포구 상암산로 34디지털큐브 12층 "
"119650","KC코트렐","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"13000000","500","6500000000","원(KRW)","김태우","02-3206-311","서울특별시 마포구 상암산로 34디지털큐브 12층 "
"092220","KEC","KOSPI",,,"032601","반도체 제조업","12",,"116706940","500","58353470000","원(KRW)","황창섭","02-2025-5000","서울특별시 서초구  마방로10길 5 "
"016380","KG동부제철","KOSPI",,,"032401","1차 철강 제조업","12",,"100008897","5000","500311410000","원(KRW)","이세철","02-3450-8027","서울특별시 중구 한강대로 416 서울스퀘어 7층"
"001390","KG케미칼","KOSPI",,,"032001","기초 화학물질 제조업","12",,"13013232","5000","67374405000","원(KRW)","곽정현, 김재익","052-231-1842","울산광역시 울주군 온산읍 당월로 322 "
"001940","KISCO홀딩스","KOSPI",,,"032401","1차 철강 제조업","12",,"18476380","1000","18476380000","원(KRW)","장세홍, 이병제 (각자대표)","055-260-0500","경상남도 창원시 성산구  공단로103번길 12 한국철강(주) "
"025000","KPX케미칼","KOSPI",,,"032001","기초 화학물질 제조업","12",,"4840000","5000","24200000000","원(KRW)","양준영,김문영(각자대표이사)","02-2014-4000","서울특별시 마포구  마포대로 137  KPX빌딩"
"092230","KPX홀딩스","KOSPI",,,"032001","기초 화학물질 제조업","12",,"4224646","5000","21123230000","원(KRW)","양준영","02-2014-4150","서울특별시 마포구  마포대로 137 KPX빌딩 19층"
"000040","KR모터스","KOSPI",,,"033109","그외 기타 운송장비 제조업","12",,"91661018","500","45830509000","원(KRW)","이기복","055-282-7011","경상남도 창원시 성산구 완암로 28 　"
"044450","KSS해운","KOSPI",,,"085001","해상 운송업","12",,"23185880","500","11592940000","원(KRW)","이대성","3702-2700","서울특별시 종로구 인사동길 12 대일빌딩 8층 "
"030210","KTB투자증권","KOSPI",,,"116601","금융 지원 서비스업","12",,"60314092","5000","301570460000","원(KRW)","이병철, 최석종","02-2184-2000","서울특별시 영등포구 여의나루로 60 여의도포스트타워"
"058850","KTcs","KOSPI",,,"106309","기타 정보 서비스업","12",,"42685000","500","23842500000","원(KRW)","양승규","042-604-5138","대전광역시 서구 갈마로 160 "
"058860","KTis","KOSPI",,,"106309","기타 정보 서비스업","12",,"34802000","500","17401000000","원(KRW)","이응호","02-3215-2054","서울특별시 영등포구 여의대로 14 케이티빌딩 10층"
"093050","LF","KOSPI",,,"031401","봉제의복 제조업","12",,"29240000","5000","146200000000","원(KRW)","구본걸,오규식","02-3441-8114","서울특별시 강남구 언주로 870 (신사동) "
"003550","LG","KOSPI",,,"116409","기타 금융업","12",,"172557131","5000","879359040000","원(KRW)","구광모, 권영수","02-3773-5114","서울특별시 영등포구  여의대로 128 "
"034220","LG디스플레이","KOSPI",,,"032602","전자부품 제조업","12",,"357815700","5000","1789078500000","원(KRW)","정호영","02-3777-1010","서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층) "
"001120","LG상사","KOSPI",,,"074601","상품 중개업","12",,"38760000","5000","193800000000","원(KRW)","윤춘성","02-3773-1114","서울특별시 종로구 새문안로 58 LG광화문빌딩 "
"051900","LG생활건강","KOSPI",,,"032004","기타 화학제품 제조업","12",,"15618197","5000","88589470000","원(KRW)","차 석 용","02-3773-5114","서울특별시 종로구  새문안로 58 "
"032640","LG유플러스","KOSPI",,,"106102","전기 통신업","12",,"436611361","5000","2573969175000","원(KRW)","하현회","02-3773-1114","서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥"
"011070","LG이노텍","KOSPI",,,"032602","전자부품 제조업","12",,"23667107","5000","118335535000","원(KRW)","정철동","02-3777-1114","서울특별시 강서구 마곡중앙10로 30 LG사이언스파크 "
"066570","LG전자","KOSPI",,,"032604","통신 및 방송 장비 제조업","12",,"163647814","5000","904169030000","원(KRW)","권봉석, 배두용","02-3777-1114","서울특별시 영등포구  여의대로 128 LG트윈타워"
"108670","LG하우시스","KOSPI",,,"032202","플라스틱제품 제조업","12",,"8967670","5000","50000000000","원(KRW)","강계웅, 강인식","3777-1114","서울특별시 중구 후암로 98 LG서울역빌딩 "
"037560","LG헬로비전","KOSPI",,,"106002","텔레비전 방송업","12",,"77446865","2500","193617162500","원(KRW)","송구영","02-1855-1000","서울특별시 마포구 월드컵북로56길 19 6층(상암동, 드림타워) "
"051910","LG화학","KOSPI",,,"032001","기초 화학물질 제조업","12",,"70592343","5000","391405715000","원(KRW)","신학철","02-3777-1114","서울특별시 영등포구  여의대로 128 "
"079550","LIG넥스원","KOSPI",,,"032502","무기 및 총포탄 제조업","12",,"22000000","5000","110000000000","원(KRW)","김지찬","1644 - 2005","경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주) "
"006260","LS","KOSPI",,,"116409","기타 금융업","12",,"32200000","5000","161000000000","원(KRW)","이광우","02-2189-9988","서울특별시 용산구 한강대로 92 LS용산타워 - "
"000680","LS네트웍스","KOSPI",,,"074608","상품 종합 도매업","12",,"78803016","5000","394015080000","원(KRW)","구자용,문성준(각자 대표이사)","02-799-7114","경상남도 김해시 호계로 428 1층(부원동, 세화빌딩)"
"229640","LS전선아시아","KOSPI",,,"116409","기타 금융업","12",,"30624879","500","15312439500","원(KRW)","권영일","031-428-0288","경기도 안양시 동안구 엘에스로 127(호계동, LS타워) 3층 "
"023150","MH에탄올","KOSPI",,,"031101","알코올음료 제조업","12",,"7378526","500","4596763000","원(KRW)","윤현의","055-231-0701","경상남도 창원시 마산회원구 내서읍 광려천남로 25 "
"035420","NAVER","KOSPI",,,"106301","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","12",,"164263395","100","16481339500","원(KRW)","한성숙","1588-3830","경기도 성남시 분당구  불정로 6 "
"005940","NH투자증권","KOSPI",,,"116601","금융 지원 서비스업","12",,"281408887","5000","1531275030000","원(KRW)","정영채","02-768-7000","서울특별시 영등포구 여의대로 60 우리투자증권빌딩"
"338100","NH프라임리츠","KOSPI",,,"126801","부동산 임대 및 공급업","11",,"18660000","500","9330000000","원(KRW)","권오성","02-6264-2836","서울특별시 영등포구 국제금융로8길 2(여의도동, 농협재단빌딩 13층) "
"034310","NICE","KOSPI",,,"137105","회사 본부 및 경영 컨설팅 서비스업","12",,"37882300","500","18941150000","원(KRW)","이현석","02-2122-4000","서울특별시 영등포구 은행로 17 (여의도동) NICE 그룹 1사옥"
"008260","NI스틸","KOSPI",,,"032401","1차 철강 제조업","12",,"28600117","500","14300058500","원(KRW)","배종민","02-758-6789","서울특별시 동작구 동작대로 35 - "
